frame,time_s,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,speed_pct
164,5.4333,-112.775651,-106.996498,-179.999991,-67.701935,123.900000,79.794921,36.59
165,5.4667,-112.996232,-107.538023,-180.000019,-67.790891,123.900000,79.381237,9.03
166,5.5000,-113.209634,-108.090544,-180.000019,-67.927993,123.900000,78.916750,9.21
167,5.5333,-113.420004,-108.653010,-179.999991,-68.099431,123.900000,78.418713,9.37
168,5.5667,-113.628851,-109.221548,-180.000019,-68.296653,123.900000,77.898471,9.48
169,5.6000,-113.789627,-109.775456,-180.000019,-68.494804,123.900000,77.365655,9.23
170,5.6333,-113.886629,-110.308286,-180.000019,-68.685386,123.900000,76.823188,9.04
171,5.6667,-113.943190,-110.825338,-180.000019,-68.873053,123.900000,76.275755,9.12
172,5.7000,-113.964363,-111.331742,-180.000019,-69.061593,123.900000,75.719907,9.26
173,5.7333,-113.951120,-111.830551,-180.000019,-69.252825,123.900000,75.152831,9.45
174,5.7667,-113.920773,-112.322823,-180.000019,-69.447738,123.900000,74.581663,9.52
175,5.8000,-113.868508,-112.810068,-180.000019,-69.646886,123.900000,74.002750,9.65
176,5.8333,-113.790733,-113.293967,-180.000019,-69.850685,123.900000,73.412936,9.83
177,5.8667,-113.705588,-113.773780,-180.000019,-70.059368,123.900000,72.821674,9.85
178,5.9000,-113.605348,-114.250241,-180.000019,-70.272674,123.900000,72.224988,9.94
179,5.9333,-113.485048,-114.724789,-180.000019,-70.490858,123.900000,71.619376,10.09
180,5.9667,-113.363190,-115.194610,-180.000019,-70.713140,123.900000,71.016735,10.04
181,6.0000,-113.231095,-115.660265,-180.000019,-70.939082,123.900000,70.412878,10.06
182,6.0333,-113.083535,-116.123256,-180.000019,-71.168905,123.900000,69.804158,10.15
183,6.0667,-112.938332,-116.578229,-180.000019,-71.400441,123.900000,69.205000,9.99
184,6.1000,-112.786996,-117.025866,-180.000019,-71.633282,123.900000,68.611204,9.90
185,6.1333,-112.624772,-117.467711,-180.000019,-71.867763,123.900000,68.019286,9.87
186,6.1667,-112.467780,-117.895704,-180.000019,-72.099989,123.900000,67.445987,9.55
187,6.2000,-112.308514,-118.310706,-179.999991,-72.329743,123.900000,66.887366,9.31
188,6.2333,-112.143319,-118.714166,-180.000019,-72.557591,123.900000,66.340439,9.12
189,6.2667,-111.985500,-119.095522,-180.000019,-72.777646,123.900000,65.823742,8.61
190,6.3000,-111.829314,-119.455760,-180.000019,-72.990120,123.900000,65.333833,8.17
191,6.3333,-111.672616,-119.796109,-180.000019,-73.195770,123.900000,64.868567,7.75
192,6.3667,-111.527031,-120.112264,-180.000019,-73.389256,123.900000,64.437459,7.19
193,6.4000,-111.391370,-120.414241,-180.000019,-73.574518,123.900000,64.026904,6.84
194,6.4333,-111.264075,-120.703745,-180.000019,-73.753066,123.900000,63.633908,6.55
195,6.4667,-111.150489,-120.968579,-180.000019,-73.916662,123.900000,63.275501,5.97
196,6.5000,-111.049566,-121.211078,-180.000019,-74.067678,123.900000,62.948000,5.46
197,6.5333,-110.961846,-121.432731,-180.000019,-74.207895,123.900000,62.649459,4.98
198,6.5667,-110.891338,-121.622132,-180.000019,-74.329575,123.900000,62.395370,4.23
199,6.6000,-110.838759,-121.781344,-180.000019,-74.435217,123.900000,62.183033,3.54
200,6.6333,-110.805360,-121.911104,-180.000019,-74.526106,123.900000,62.011745,2.85
