frame,time_s,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,speed_pct
131,5.4167,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
132,5.4583,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
133,5.5000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
134,5.5417,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
135,5.5833,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
136,5.6250,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
137,5.6667,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
138,5.7083,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
139,5.7500,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
140,5.7917,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
141,5.8333,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
142,5.8750,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
143,5.9167,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
144,5.9583,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
145,6.0000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
146,6.0417,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
147,6.0833,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
148,6.1250,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
149,6.1667,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
150,6.2083,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
151,6.2500,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
152,6.2917,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
153,6.3333,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
154,6.3750,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
155,6.4167,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
156,6.4583,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
157,6.5000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
158,6.5417,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
159,6.5833,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
160,6.6250,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
161,6.6667,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
162,6.7083,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
163,6.7500,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
164,6.7917,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
165,6.8333,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
166,6.8750,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
167,6.9167,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
168,6.9583,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
169,7.0000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
170,7.0417,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
171,7.0833,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
172,7.1250,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
173,7.1667,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
174,7.2083,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
175,7.2500,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
176,7.2917,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
177,7.3333,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
178,7.3750,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
179,7.4167,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
180,7.4583,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
181,7.5000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
182,7.5417,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
183,7.5833,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
184,7.6250,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
185,7.6667,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
186,7.7083,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
187,7.7500,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
188,7.7917,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
189,7.8333,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
190,7.8750,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
191,7.9167,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
192,7.9583,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
193,8.0000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
194,8.0417,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
195,8.0833,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
196,8.1250,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
197,8.1667,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
198,8.2083,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
199,8.2500,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
200,8.2917,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.00
