frame,time_s,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,speed_pct
111,4.5833,0.000007,-46.576252,-74.857118,0.000040,-28.280917,-0.000036,4.83
112,4.6250,0.000007,-46.772353,-75.219610,0.000040,-28.447306,-0.000036,4.83
113,4.6667,0.000007,-46.968578,-75.582423,0.000040,-28.613896,-0.000036,4.84
114,4.7083,0.000007,-47.164864,-75.945447,0.000040,-28.780638,-0.000036,4.84
115,4.7500,0.000007,-47.361198,-76.308663,0.000040,-28.947516,-0.000035,4.84
116,4.7917,0.000007,-47.557538,-76.671974,0.000040,-29.114494,-0.000035,4.84
117,4.8333,0.000007,-47.753834,-77.035313,0.000040,-29.281526,-0.000035,4.84
118,4.8750,0.000007,-47.950076,-77.398618,0.000040,-29.448600,-0.000035,4.84
119,4.9167,0.000007,-48.146181,-77.761786,0.000040,-29.615652,-0.000035,4.84
120,4.9583,0.000007,-48.342153,-78.124776,0.000040,-29.782678,-0.000035,4.84
121,5.0000,0.000007,-48.537937,-78.487521,0.000040,-29.949632,-0.000035,4.84
122,5.0417,0.000007,-48.733478,-78.849883,0.000040,-30.116452,-0.000035,4.83
123,5.0833,0.000007,-48.928757,-79.211855,0.000040,-30.283150,-0.000035,4.83
124,5.1250,0.000007,-49.123731,-79.573343,0.000040,-30.449670,-0.000035,4.82
125,5.1667,0.000007,-49.318327,-79.934209,0.000040,-30.615947,-0.000035,4.81
126,5.2083,0.000007,-49.512533,-80.294461,0.000040,-30.781972,-0.000035,4.80
127,5.2500,0.000007,-49.706309,-80.653954,0.000040,-30.947703,-0.000035,4.79
128,5.2917,0.000007,-49.899590,-81.012635,0.000040,-31.113089,-0.000034,4.78
129,5.3333,0.000007,-50.092334,-81.370393,0.000040,-31.278100,-0.000034,4.77
130,5.3750,0.000008,-50.284512,-81.727154,0.000040,-31.442690,-0.000034,4.76
131,5.4167,0.000008,-50.476058,-82.082843,0.000040,-31.606823,-0.000034,4.74
132,5.4583,0.000008,-50.666955,-82.437364,0.000040,-31.770458,-0.000034,4.73
133,5.5000,0.000008,-50.857117,-82.790601,0.000040,-31.933545,-0.000034,4.71
134,5.5417,0.000008,-51.046532,-83.142534,0.000040,-32.096053,-0.000034,4.69
135,5.5833,0.000008,-51.235124,-83.492997,0.000040,-32.257921,-0.000034,4.67
136,5.6250,0.000008,-51.422858,-83.841931,0.000040,-32.419121,-0.000034,4.65
137,5.6667,0.000008,-51.609657,-84.189192,0.000039,-32.579582,-0.000034,4.63
138,5.7083,0.000008,-51.795507,-84.534758,0.000039,-32.739293,-0.000034,4.61
139,5.7500,0.000008,-51.980342,-84.878488,0.000039,-32.898194,-0.000034,4.58
140,5.7917,0.000008,-52.164088,-85.220250,0.000039,-33.056210,-0.000034,4.56
141,5.8333,0.000008,-52.346730,-85.560018,0.000039,-33.213335,-0.000034,4.53
142,5.8750,0.000008,-52.528178,-85.897627,0.000039,-33.369500,-0.000033,4.50
143,5.9167,0.000008,-52.708396,-86.233003,0.000039,-33.524652,-0.000033,4.47
144,5.9583,0.000008,-52.887319,-86.566016,0.000039,-33.678748,-0.000033,4.44
145,6.0000,0.000008,-53.064897,-86.896590,0.000039,-33.831740,-0.000033,4.41
146,6.0417,0.000008,-53.241062,-87.224576,0.000039,-33.983558,-0.000033,4.37
147,6.0833,0.000008,-53.415778,-87.549911,0.000039,-34.134181,-0.000033,4.34
148,6.1250,0.000008,-53.588947,-87.872419,0.000039,-34.283516,-0.000033,4.30
149,6.1667,0.000008,-53.760532,-88.192004,0.000039,-34.431523,-0.000033,4.26
150,6.2083,0.000008,-53.930477,-88.508610,0.000039,-34.578174,-0.000033,4.22
151,6.2500,0.000008,-54.098722,-88.822068,0.000039,-34.723394,-0.000033,4.18
152,6.2917,0.000008,-54.265173,-89.132247,0.000039,-34.867119,-0.000033,4.14
153,6.3333,0.000008,-54.429801,-89.439046,0.000039,-35.009292,-0.000033,4.09
154,6.3750,0.000009,-54.592524,-89.742347,0.000039,-35.149864,-0.000033,4.04
155,6.4167,0.000009,-54.753279,-90.042008,0.000039,-35.288780,-0.000033,4.00
156,6.4583,0.000009,-54.912003,-90.337933,0.000039,-35.425971,-0.000033,3.95
157,6.5000,0.000009,-55.068626,-90.629951,0.000039,-35.561380,-0.000033,3.89
158,6.5417,0.000009,-55.223063,-90.917959,0.000039,-35.694941,-0.000033,3.84
159,6.5833,0.000009,-55.375274,-91.201829,0.000039,-35.826600,-0.000033,3.78
160,6.6250,0.000009,-55.525179,-91.481436,0.000039,-35.956305,-0.000033,3.73
161,6.6667,0.000009,-55.672698,-91.756611,0.000039,-36.083968,-0.000032,3.67
